5,1,14,1,5,"(anonymous)@147-151@packages/plugin-canvas/src/ui/canvas-panel.tsx","packages/plugin-canvas/src/ui/canvas-panel.tsx","(anonymous)","(anonymous) ( artifact kind artifact version )",147,151
11,1,33,1,11,"(anonymous)@154-164@packages/plugin-canvas/src/ui/canvas-panel.tsx","packages/plugin-canvas/src/ui/canvas-panel.tsx","(anonymous)","(anonymous) ( copyText )",154,164
115,20,447,11,174,"CanvasPanel@63-236@packages/plugin-canvas/src/ui/canvas-panel.tsx","packages/plugin-canvas/src/ui/canvas-panel.tsx","CanvasPanel","CanvasPanel ( open , onOpenChange , artifact , versions , onVersionSelect , renderers , onFork , hideActions , className , ariaLabel , CanvasPanelProps )",63,236
25,10,183,1,40,"slugifyFilename@65-104@packages/plugin-canvas/src/ui/artifact-actions.ts","packages/plugin-canvas/src/ui/artifact-actions.ts","slugifyFilename","slugifyFilename ( title )",65,104
39,19,250,1,40,"serializeArtifactForCopy@104-143@packages/plugin-canvas/src/ui/artifact-actions.ts","packages/plugin-canvas/src/ui/artifact-actions.ts","serializeArtifactForCopy","serializeArtifactForCopy ( artifact Artifact )",104,143
4,3,24,0,4,"candidates@53-56@packages/plugin-canvas/src/ui/open-in-canvas-button.tsx","packages/plugin-canvas/src/ui/open-in-canvas-button.tsx","candidates","candidates ( ( )",53,56
10,1,44,8,13,"OpenInCanvasButton@44-56@packages/plugin-canvas/src/ui/open-in-canvas-button.tsx","packages/plugin-canvas/src/ui/open-in-canvas-button.tsx","OpenInCanvasButton","OpenInCanvasButton ( messageContent , messageId , sessionId , onPublish , label , extractor , className , OpenInCanvasButtonProps )",44,56
3,1,10,0,3,"(anonymous)@59-61@packages/plugin-canvas/src/ui/open-in-canvas-button.tsx","packages/plugin-canvas/src/ui/open-in-canvas-button.tsx","(anonymous)","(anonymous)",59,61
1,2,11,0,1,"(anonymous)@91-91@packages/plugin-canvas/src/ui/open-in-canvas-button.tsx","packages/plugin-canvas/src/ui/open-in-canvas-button.tsx","(anonymous)","(anonymous)",91,91
9,1,32,0,9,"(anonymous)@125-133@packages/plugin-canvas/src/ui/open-in-canvas-button.tsx","packages/plugin-canvas/src/ui/open-in-canvas-button.tsx","(anonymous)","(anonymous)",125,133
18,1,40,0,18,"CanvasIcon@140-157@packages/plugin-canvas/src/ui/open-in-canvas-button.tsx","packages/plugin-canvas/src/ui/open-in-canvas-button.tsx","CanvasIcon","CanvasIcon ( )",140,157
7,1,37,1,8,"base@54-61@packages/plugin-canvas/src/ui/extract-artifacts.ts","packages/plugin-canvas/src/ui/extract-artifacts.ts","base","base ( suffix )",54,61
7,1,24,0,7,"build@72-78@packages/plugin-canvas/src/ui/extract-artifacts.ts","packages/plugin-canvas/src/ui/extract-artifacts.ts","build","build ( )",72,78
8,2,36,0,8,"build@84-91@packages/plugin-canvas/src/ui/extract-artifacts.ts","packages/plugin-canvas/src/ui/extract-artifacts.ts","build","build ( )",84,91
7,1,24,0,7,"build@104-110@packages/plugin-canvas/src/ui/extract-artifacts.ts","packages/plugin-canvas/src/ui/extract-artifacts.ts","build","build ( )",104,110
7,1,26,0,7,"build@117-123@packages/plugin-canvas/src/ui/extract-artifacts.ts","packages/plugin-canvas/src/ui/extract-artifacts.ts","build","build ( )",117,123
47,13,336,2,83,"extractArtifactCandidates@47-129@packages/plugin-canvas/src/ui/extract-artifacts.ts","packages/plugin-canvas/src/ui/extract-artifacts.ts","extractArtifactCandidates","extractArtifactCandidates ( body , ctx ExtractContext , )",47,129
7,4,48,2,8,"isInsideAnySpan@129-136@packages/plugin-canvas/src/ui/extract-artifacts.ts","packages/plugin-canvas/src/ui/extract-artifacts.ts","isInsideAnySpan","isInsideAnySpan ( index , spans Array )",129,136
3,1,16,1,3,"title@144-146@packages/plugin-canvas/src/ui/extract-artifacts.ts","packages/plugin-canvas/src/ui/extract-artifacts.ts","title","title ( s )",144,146
158,38,1285,2,201,"reducer@53-253@packages/plugin-canvas/src/ui/use-canvas.ts","packages/plugin-canvas/src/ui/use-canvas.ts","reducer","reducer ( state CanvasState , action CanvasAction )",53,253
1,1,5,0,1,"(anonymous)@48-48@packages/plugin-canvas/src/ui/artifact-version-rail.tsx","packages/plugin-canvas/src/ui/artifact-version-rail.tsx","(anonymous)","(anonymous)",48,48
20,4,90,0,20,"(anonymous)@45-64@packages/plugin-canvas/src/ui/artifact-version-rail.tsx","packages/plugin-canvas/src/ui/artifact-version-rail.tsx","(anonymous)","(anonymous)",45,64
20,2,71,5,39,"ArtifactVersionRail@27-65@packages/plugin-canvas/src/ui/artifact-version-rail.tsx","packages/plugin-canvas/src/ui/artifact-version-rail.tsx","ArtifactVersionRail","ArtifactVersionRail ( versions , currentVersion , onSelect , className , ArtifactVersionRailProps )",27,65
2,1,6,0,2,"(anonymous)@67-68@packages/plugin-canvas/src/ui/artifact-renderer.tsx","packages/plugin-canvas/src/ui/artifact-renderer.tsx","(anonymous)","(anonymous)",67,68
